PDMS,,PDMS-90,,PDMS-0,,K1S-spin,,K1S-spin-90,,K1S-spin-0,,K1S-ff-3mms,,K1S-ff-3mms-90,,K1S-ff-3mms-0,,K1S-lf-3mms,,K1S-lf-3mms-90,,K1S-lf-3mms-0,,K1S-lf-3mms-2,,K1S-lf-3mms-2-90,,K1S-lf-3mms-2-0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1037,0.5263091326,1037,1.157941699,1037,0.7994878888,1037,0.47111696,1037,1.073305607,1037,0.8213468194,1037,0.8191993833,1037,1.418501616,1037,1.046831608,1037,0.5538170934,1037,1.115813017,1037,0.8372758031,1037,0.6866380572,1037,1.265927672,1037,0.942353785,
1036,0.5266661048,1036,1.157406926,1036,0.8002695441,1036,0.4714445472,1036,1.073105097,1036,0.8223646283,1036,0.8191804886,1036,1.417836428,1036,1.047727942,1036,0.5541861057,1036,1.115772724,1036,0.8383494616,1036,0.6871783137,1036,1.265867114,1036,0.943553865,
1035,0.5269122124,1035,1.156807184,1035,0.8007807732,1035,0.4718143642,1035,1.072557807,1035,0.8231297135,1035,0.8196008801,1035,1.417112589,1035,1.048765898,1035,0.5545677543,1035,1.115190864,1035,0.8390037417,1035,0.6874123216,1035,1.265164614,1035,0.9442054629,
1034,0.5266863108,1034,1.156103015,1034,0.8013055921,1034,0.4716190398,1034,1.071577191,1034,0.8234570622,1034,0.8195740581,1034,1.41650641,1034,1.049083948,1034,0.5547026992,1034,1.114564896,1034,0.8397227526,1034,0.6874425411,1034,1.264802217,1034,0.9447401166,
1033,0.5270997882,1033,1.155521274,1033,0.802421093,1033,0.4721016288,1033,1.071361303,1033,0.8246699572,1033,0.8198459148,1033,1.41630137,1033,1.049849033,1033,0.5552279949,1033,1.114629984,1033,0.8409463167,1033,0.688313067,1033,1.264784217,1033,0.946113646,
1032,0.5272741318,1032,1.15454936,1032,0.8026127219,1032,0.4722943008,1032,1.070800066,1032,0.8253619671,1032,0.8203825951,1032,1.415622115,1032,1.05067873,1032,0.5556384921,1032,1.113982797,1032,0.84159863,1032,0.6885330677,1032,1.264048457,1032,0.9466503859,
1031,0.527210474,1031,1.154083848,1031,0.8033227921,1031,0.4723179638,1031,1.070019126,1031,0.8260267377,1031,0.8206221461,1031,1.415227294,1031,1.051343918,1031,0.5557789803,1031,1.113352537,1031,0.8424400091,1031,0.6883018613,1031,1.263360143,1031,0.9472769499,
1030,0.5277853012,1030,1.153828502,1030,0.8044751287,1030,0.4727639258,1030,1.069827199,1030,0.82720083,1030,0.8208084106,1030,1.41499579,1030,1.052197814,1030,0.5562608838,1030,1.113553882,1030,0.8436142802,1030,0.689263463,1030,1.263695955,1030,0.9488664269,
1029,0.5279390216,1029,1.15308845,1029,0.8049738407,1029,0.4729183614,1029,1.069174767,1029,0.8277171254,1029,0.8209432364,1029,1.414247155,1029,1.053038478,1029,0.5566994548,1029,1.112952113,1029,0.8443778753,1029,0.6896184683,1029,1.263021469,1029,0.9493874907,
1028,0.5282317996,1028,1.152556062,1028,0.8056138158,1028,0.4730538428,1028,1.068487525,1028,0.8285571933,1028,0.8213121891,1028,1.413578272,1028,1.053869963,1028,0.556930542,1028,1.112374306,1028,0.8452697396,1028,0.6896206141,1028,1.262456298,1028,0.9502577186,
